	Area	Area_AG	Area_SH	Area_QF	Spcs_Tt	Spcs_AG	Spcs_SH	Spcs_QF	Spcs_UB	Hbt
R33	64	64	0	0	19	9	5	4	1	A
R331	1	1	0	0	11	5	3	2	1	A
R332	1	1	0	0	11	6	2	3	0	A
R333	1	1	0	0	12	7	4	1	0	A
R334	1	1	0	0	13	6	4	3	0	A
R34	64	64	0	0	17	9	5	1	2	A
R341	1	1	0	0	15	9	4	1	1	A
R342	1	1	0	0	8	4	1	1	2	A
R343	1	1	0	0	8	5	2	1	0	A
R344	1	1	0	0	10	5	2	1	2	A
R4	4096	4096	0	0	44	27	10	5	2	A
R41	64	64	0	0	25	16	4	3	2	A
R411	1	1	0	0	6	5	1	0	0	A
R412	1	1	0	0	11	8	0	2	1	A
R413	1	1	0	0	15	9	2	2	2	A
R414	1	1	0	0	13	7	3	2	1	A
R42	64	64	0	0	22	15	4	3	0	A
R421	1	1	0	0	14	10	2	2	0	A
R422	1	1	0	0	17	11	3	3	0	A
R423	1	1	0	0	6	4	1	1	0	A
R424	1	1	0	0	4	2	1	1	0	A
R43	64	64	0	0	21	13	4	4	0	A
R431	1	1	0	0	8	3	3	2	0	A
R432	1	1	0	0	9	6	2	1	0	A
R433	1	1	0	0	12	7	2	3	0	A
R434	1	1	0	0	10	3	4	3	0	A
R44	64	64	0	0	23	16	4	3	0	A
R441	1	1	0	0	8	5	2	1	0	A
R442	1	1	0	0	14	11	2	1	0	A
R443	1	1	0	0	11	8	2	1	0	A
R444	1	1	0	0	12	9	2	1	0	A
